Pay_Date,Allowances,Overtime_Hours,Overtime_Pay,Gross_Salary,Tax,PF,Deductions,Net_Salary,Payroll_Start_Date,Payroll_End_Date,Employee_id,Department
17-07-2024,8095,25.3,7590,70094,7009.4,3504.7,10514.1,59579.9,17-06-2024,17-07-2024,EMP0019,Operations
15-02-2024,5320,14.5,4350,48994,4899.4,2449.7,7349.1,41644.9,16-01-2024,15-02-2024,EMP0020,Operations
14-10-2024,7321,19.8,5940,41999,4199.9,2099.95,6299.85,35699.15,14-09-2024,14-10-2024,EMP0021,HR
15-01-2024,5555,15.3,4590,54199,5419.9,2709.95,8129.85,46069.15,16-12-2023,15-01-2024,EMP0022,HR
13-02-2024,9939,14.3,4290,63938,6393.8,3196.9,9590.7,54347.3,14-01-2024,13-02-2024,EMP0023,HR
17-06-2024,10432,25,7500,38295,3829.5,1914.75,5744.25,32550.75,18-05-2024,17-06-2024,EMP0024,Sales
05-11-2024,6386,22.7,6810,43554,4355.4,2177.7,6533.1,37020.9,06-10-2024,05-11-2024,EMP0025,HR
13-02-2024,9763,14.5,4350,37353,3735.3,1867.65,5602.95,31750.05,14-01-2024,13-02-2024,EMP0026,Finance
07-04-2024,16239,3.3,990,82918,8291.8,4145.9,12437.7,70480.3,08-03-2024,07-04-2024,EMP0027,HR
17-09-2024,15619,3.5,1050,38605,3860.5,1930.25,5790.75,32814.25,18-08-2024,17-09-2024,EMP0028,IT
18-04-2024,11854,24,7200,83019,8301.9,4150.95,12452.85,70566.15,19-03-2024,18-04-2024,EMP0029,Operations
09-10-2024,19230,15.9,4770,44882,4488.2,2244.1,6732.3,38149.7,09-09-2024,09-10-2024,EMP0030,IT
08-12-2024,15196,14.4,4320,59740,5974,2987,8961,50779,08-11-2024,08-12-2024,EMP0031,Sales
13-04-2024,15122,20.4,6120,72067,7206.7,3603.35,10810.05,61256.95,14-03-2024,13-04-2024,EMP0032,Sales
12-09-2024,12637,25.8,7740,69262,6926.2,3463.1,10389.3,58872.7,13-08-2024,12-09-2024,EMP0033,HR
24-07-2024,9841,18.9,5670,75567,7556.7,3778.35,11335.05,64231.95,24-06-2024,24-07-2024,EMP0034,Sales
30-11-2024,17962,22.9,6870,48035,4803.5,2401.75,7205.25,40829.75,31-10-2024,30-11-2024,EMP0035,HR
12-02-2024,15355,23,6900,102496,10249.6,5124.8,15374.4,87121.6,13-01-2024,12-02-2024,EMP0036,IT
18-12-2024,19940,10.7,3210,45394,4539.4,2269.7,6809.1,38584.9,18-11-2024,18-12-2024,EMP0037,HR
01-09-2024,18353,8.2,2460,109432,10943.2,5471.6,16414.8,93017.2,02-08-2024,01-09-2024,EMP0038,HR
13-10-2024,8867,24,7200,57651,5765.1,2882.55,8647.65,49003.35,13-09-2024,13-10-2024,EMP0039,Operations
20-12-2024,15618,11.3,3390,47529,4752.9,2376.45,7129.35,40399.65,20-11-2024,20-12-2024,EMP0040,Operations
29-09-2024,8793,27.1,8130,86940,8694,4347,13041,73899,30-08-2024,29-09-2024,EMP0041,Operations
23-03-2024,12373,2.1,630,66544,6654.4,3327.2,9981.6,56562.4,22-02-2024,23-03-2024,EMP0042,Finance
19-04-2024,7513,1.7,510,57086,5708.6,2854.3,8562.9,48523.1,20-03-2024,19-04-2024,EMP0043,IT
08-07-2024,8803,27.8,8340,102095,10209.5,5104.75,15314.25,86780.75,08-06-2024,08-07-2024,EMP0044,Sales
14-10-2024,7327,19.5,5850,72740,7274,3637,10911,61829,14-09-2024,14-10-2024,EMP0045,HR
07-09-2024,13809,11.4,3420,76981,7698.1,3849.05,11547.15,65433.85,08-08-2024,07-09-2024,EMP0046,Operations
30-07-2024,7165,22.7,6810,36542,3654.2,1827.1,5481.3,31060.7,30-06-2024,30-07-2024,EMP0047,HR
17-10-2024,8308,20.2,6060,50489,5048.9,2524.45,7573.35,42915.65,17-09-2024,17-10-2024,EMP0048,Operations
12-05-2024,11452,15.9,4770,37896,3789.6,1894.8,5684.4,32211.6,12-04-2024,12-05-2024,EMP0049,Sales
19-07-2024,13067,3,900,100242,10024.2,5012.1,15036.3,85205.7,19-06-2024,19-07-2024,EMP0050,IT
11-10-2024,12642,24.4,7320,107043,10704.3,5352.15,16056.45,90986.55,11-09-2024,11-10-2024,EMP0051,Sales
21-11-2024,19435,26,7800,76375,7637.5,3818.75,11456.25,64918.75,22-10-2024,21-11-2024,EMP0052,Sales
04-04-2024,11404,5.2,1560,42291,4229.1,2114.55,6343.65,35947.35,05-03-2024,04-04-2024,EMP0053,Sales
04-10-2024,5992,25.5,7650,56973,5697.3,2848.65,8545.95,48427.05,04-09-2024,04-10-2024,EMP0054,IT
20-11-2024,10424,26.3,7890,61318,6131.8,3065.9,9197.7,52120.3,21-10-2024,20-11-2024,EMP0055,Sales
06-08-2024,14569,16.5,4950,50011,5001.1,2500.55,7501.65,42509.35,07-07-2024,06-08-2024,EMP0056,Sales
29-03-2024,9381,19.7,5910,90088,9008.8,4504.4,13513.2,76574.8,28-02-2024,29-03-2024,EMP0057,Operations
12-03-2024,19663,11.5,3450,101208,10120.8,5060.4,15181.2,86026.8,11-02-2024,12-03-2024,EMP0058,Sales
03-09-2024,8174,8.5,2550,44473,4447.3,2223.65,6670.95,37802.05,04-08-2024,03-09-2024,EMP0059,IT
08-05-2024,19398,21.7,6510,109125,10912.5,5456.25,16368.75,92756.25,08-04-2024,08-05-2024,EMP0060,Sales
30-07-2024,9782,25.9,7770,46597,4659.7,2329.85,6989.55,39607.45,30-06-2024,30-07-2024,EMP0061,IT
08-12-2024,14497,19.6,5880,60493,6049.3,3024.65,9073.95,51419.05,08-11-2024,08-12-2024,EMP0062,IT
05-04-2024,10560,15.3,4590,53817,5381.7,2690.85,8072.55,45744.45,06-03-2024,05-04-2024,EMP0063,IT
15-03-2024,12460,4.8,1440,61202,6120.2,3060.1,9180.3,52021.7,14-02-2024,15-03-2024,EMP0064,Finance
23-02-2024,18025,1.6,480,49788,4978.8,2489.4,7468.2,42319.8,24-01-2024,23-02-2024,EMP0065,Sales
09-12-2024,8078,13.4,4020,63033,6303.3,3151.65,9454.95,53578.05,09-11-2024,09-12-2024,EMP0066,Finance
23-02-2024,15878,1.5,450,67952,6795.2,3397.6,10192.8,57759.2,24-01-2024,23-02-2024,EMP0067,Finance
05-08-2024,7983,17.1,5130,46553,4655.3,2327.65,6982.95,39570.05,06-07-2024,05-08-2024,EMP0068,Sales
16-01-2024,12259,11.5,3450,82210,8221,4110.5,12331.5,69878.5,17-12-2023,16-01-2024,EMP0069,Sales
08-04-2024,11054,22.7,6810,39133,3913.3,1956.65,5869.95,33263.05,09-03-2024,08-04-2024,EMP0070,Finance
20-01-2024,19182,9.2,2760,49810,4981,2490.5,7471.5,42338.5,21-12-2023,20-01-2024,EMP0071,HR
15-02-2024,7523,17.8,5340,63114,6311.4,3155.7,9467.1,53646.9,16-01-2024,15-02-2024,EMP0072,Operations
11-07-2024,16774,16.1,4830,80333,8033.3,4016.65,12049.95,68283.05,11-06-2024,11-07-2024,EMP0073,Sales
27-02-2024,14677,0.1,30,50441,5044.1,2522.05,7566.15,42874.85,28-01-2024,27-02-2024,EMP0074,IT
20-04-2024,15292,2.2,660,78381,7838.1,3919.05,11757.15,66623.85,21-03-2024,20-04-2024,EMP0075,IT
08-05-2024,9581,8.7,2610,73528,7352.8,3676.4,11029.2,62498.8,08-04-2024,08-05-2024,EMP0076,Operations
02-12-2024,16907,26.5,7950,85182,8518.2,4259.1,12777.3,72404.7,02-11-2024,02-12-2024,EMP0077,Sales
12-07-2024,10609,4.4,1320,94443,9444.3,4722.15,14166.45,80276.55,12-06-2024,12-07-2024,EMP0078,Operations
05-12-2024,7001,21.3,6390,41824,4182.4,2091.2,6273.6,35550.4,05-11-2024,05-12-2024,EMP0079,Operations
21-11-2024,6387,29.2,8760,44258,4425.8,2212.9,6638.7,37619.3,22-10-2024,21-11-2024,EMP0080,Operations
08-01-2024,16375,23.7,7110,107238,10723.8,5361.9,16085.7,91152.3,09-12-2023,08-01-2024,EMP0081,Sales
29-01-2024,11552,7.3,2190,55493,5549.3,2774.65,8323.95,47169.05,30-12-2023,29-01-2024,EMP0082,Sales
21-04-2024,6030,27.3,8190,50673,5067.3,2533.65,7600.95,43072.05,22-03-2024,21-04-2024,EMP0083,HR
09-06-2024,14957,2.8,840,74765,7476.5,3738.25,11214.75,63550.25,10-05-2024,09-06-2024,EMP0084,Operations
10-05-2024,17955,14,4200,72232,7223.2,3611.6,10834.8,61397.2,10-04-2024,10-05-2024,EMP0085,Sales
06-07-2024,6220,26.6,7980,68975,6897.5,3448.75,10346.25,58628.75,06-06-2024,06-07-2024,EMP0086,HR
11-06-2024,18122,19.2,5760,102026,10202.6,5101.3,15303.9,86722.1,12-05-2024,11-06-2024,EMP0087,Finance
15-07-2024,18163,12.4,3720,90453,9045.3,4522.65,13567.95,76885.05,15-06-2024,15-07-2024,EMP0088,Finance
29-12-2024,16998,8.8,2640,85735,8573.5,4286.75,12860.25,72874.75,29-11-2024,29-12-2024,EMP0089,Sales
22-07-2024,15606,11.3,3390,63499,6349.9,3174.95,9524.85,53974.15,22-06-2024,22-07-2024,EMP0090,Finance
30-07-2024,18289,15.3,4590,45658,4565.8,2282.9,6848.7,38809.3,30-06-2024,30-07-2024,EMP0091,Sales
18-04-2024,17537,9.6,2880,41172,4117.2,2058.6,6175.8,34996.2,19-03-2024,18-04-2024,EMP0092,Operations
02-10-2024,11035,29.1,8730,79028,7902.8,3951.4,11854.2,67173.8,02-09-2024,02-10-2024,EMP0093,Operations
13-03-2024,14810,28,8400,98297,9829.7,4914.85,14744.55,83552.45,12-02-2024,13-03-2024,EMP0094,HR
15-06-2024,14455,26.1,7830,84566,8456.6,4228.3,12684.9,71881.1,16-05-2024,15-06-2024,EMP0095,Operations
16-09-2024,11523,12.7,3810,86815,8681.5,4340.75,13022.25,73792.75,17-08-2024,16-09-2024,EMP0096,Sales
30-08-2024,13074,20.7,6210,94141,9414.1,4707.05,14121.15,80019.85,31-07-2024,30-08-2024,EMP0097,IT
01-10-2024,14063,27.1,8130,59593,5959.3,2979.65,8938.95,50654.05,01-09-2024,01-10-2024,EMP0098,Finance
11-04-2024,5834,25.5,7650,73599,7359.9,3679.95,11039.85,62559.15,12-03-2024,11-04-2024,EMP0099,Operations
21-06-2024,16014,12.4,3720,53983,5398.3,2699.15,8097.45,45885.55,22-05-2024,21-06-2024,EMP0100,Operations
19-06-2024,14110,3.4,1020,81955,8195.5,4097.75,12293.25,69661.75,20-05-2024,19-06-2024,EMP0101,IT
20-05-2024,6724,2.3,690,52014,5201.4,2600.7,7802.1,44211.9,20-04-2024,20-05-2024,EMP0102,IT
06-07-2024,11598,17.3,5190,74494,7449.4,3724.7,11174.1,63319.9,06-06-2024,06-07-2024,EMP0103,Finance
26-03-2024,7413,19.3,5790,52425,5242.5,2621.25,7863.75,44561.25,25-02-2024,26-03-2024,EMP0104,HR
21-02-2024,14505,25.5,7650,83294,8329.4,4164.7,12494.1,70799.9,22-01-2024,21-02-2024,EMP0105,Operations
20-04-2024,10993,8.8,2640,74935,7493.5,3746.75,11240.25,63694.75,21-03-2024,20-04-2024,EMP0106,Finance
30-12-2024,9498,5,1500,99157,9915.7,4957.85,14873.55,84283.45,30-11-2024,30-12-2024,EMP0107,Operations
07-12-2024,7105,11.4,3420,39171,3917.1,1958.55,5875.65,33295.35,07-11-2024,07-12-2024,EMP0108,HR
12-02-2024,7568,10.6,3180,44291,4429.1,2214.55,6643.65,37647.35,13-01-2024,12-02-2024,EMP0109,Finance
29-07-2024,18615,4,1200,62600,6260,3130,9390,53210,29-06-2024,29-07-2024,EMP0110,Sales
18-07-2024,14330,20.2,6060,71796,7179.6,3589.8,10769.4,61026.6,18-06-2024,18-07-2024,EMP0111,Finance
24-10-2024,5209,15.3,4590,81227,8122.7,4061.35,12184.05,69042.95,24-09-2024,24-10-2024,EMP0112,Operations
11-12-2024,14256,21.6,6480,64513,6451.3,3225.65,9676.95,54836.05,11-11-2024,11-12-2024,EMP0113,IT
27-08-2024,9911,10.6,3180,91030,9103,4551.5,13654.5,77375.5,28-07-2024,27-08-2024,EMP0114,Finance
24-04-2024,7220,9.8,2940,83186,8318.6,4159.3,12477.9,70708.1,25-03-2024,24-04-2024,EMP0115,IT
26-01-2024,5233,14.2,4260,59046,5904.6,2952.3,8856.9,50189.1,27-12-2023,26-01-2024,EMP0116,IT
25-10-2024,5792,26.3,7890,57230,5723,2861.5,8584.5,48645.5,25-09-2024,25-10-2024,EMP0117,Operations
17-03-2024,19195,1.2,360,102776,10277.6,5138.8,15416.4,87359.6,16-02-2024,17-03-2024,EMP0118,IT
16-05-2024,18901,24.1,7230,83396,8339.6,4169.8,12509.4,70886.6,16-04-2024,16-05-2024,EMP0119,HR
20-01-2024,8110,11.1,3330,72141,7214.1,3607.05,10821.15,61319.85,21-12-2023,20-01-2024,EMP0120,Operations
29-07-2024,7166,25.6,7680,86133,8613.3,4306.65,12919.95,73213.05,29-06-2024,29-07-2024,EMP0121,IT
27-08-2024,13526,24.1,7230,47483,4748.3,2374.15,7122.45,40360.55,28-07-2024,27-08-2024,EMP0122,Operations
08-02-2024,14551,10.5,3150,88418,8841.8,4420.9,13262.7,75155.3,09-01-2024,08-02-2024,EMP0123,Sales
24-09-2024,18927,20.8,6240,77594,7759.4,3879.7,11639.1,65954.9,25-08-2024,24-09-2024,EMP0124,Operations
25-07-2024,10193,4.8,1440,48325,4832.5,2416.25,7248.75,41076.25,25-06-2024,25-07-2024,EMP0125,IT
23-09-2024,6214,26.9,8070,65909,6590.9,3295.45,9886.35,56022.65,24-08-2024,23-09-2024,EMP0126,Sales
02-06-2024,9419,12.1,3630,57967,5796.7,2898.35,8695.05,49271.95,03-05-2024,02-06-2024,EMP0127,HR
11-02-2024,12314,13.7,4110,77560,7756,3878,11634,65926,12-01-2024,11-02-2024,EMP0128,IT
11-01-2024,19078,21.2,6360,97847,9784.7,4892.35,14677.05,83169.95,12-12-2023,11-01-2024,EMP0129,Sales
20-10-2024,13475,24.6,7380,56432,5643.2,2821.6,8464.8,47967.2,20-09-2024,20-10-2024,EMP0130,Operations
07-04-2024,5212,7.1,2130,55031,5503.1,2751.55,8254.65,46776.35,08-03-2024,07-04-2024,EMP0131,HR
01-10-2024,6658,19.8,5940,43752,4375.2,2187.6,6562.8,37189.2,01-09-2024,01-10-2024,EMP0132,Sales
17-08-2024,17270,11.8,3540,62151,6215.1,3107.55,9322.65,52828.35,18-07-2024,17-08-2024,EMP0133,IT
07-08-2024,19029,11.1,3330,88689,8868.9,4434.45,13303.35,75385.65,08-07-2024,07-08-2024,EMP0134,Operations
05-03-2024,10024,20.7,6210,104650,10465,5232.5,15697.5,88952.5,04-02-2024,05-03-2024,EMP0135,Operations
20-12-2024,18039,11.6,3480,74832,7483.2,3741.6,11224.8,63607.2,20-11-2024,20-12-2024,EMP0136,Operations
19-08-2024,14609,10.4,3120,84629,8462.9,4231.45,12694.35,71934.65,20-07-2024,19-08-2024,EMP0137,Finance
23-11-2024,15578,25.1,7530,77803,7780.3,3890.15,11670.45,66132.55,24-10-2024,23-11-2024,EMP0138,IT
21-02-2024,10917,3,900,62042,6204.2,3102.1,9306.3,52735.7,22-01-2024,21-02-2024,EMP0139,Sales
19-09-2024,10141,20.3,6090,85387,8538.7,4269.35,12808.05,72578.95,20-08-2024,19-09-2024,EMP0140,Sales
23-09-2024,6794,7.5,2250,56873,5687.3,2843.65,8530.95,48342.05,24-08-2024,23-09-2024,EMP0141,Finance
24-12-2024,10988,0.5,150,57076,5707.6,2853.8,8561.4,48514.6,24-11-2024,24-12-2024,EMP0142,Operations
12-11-2024,13296,5,1500,93960,9396,4698,14094,79866,13-10-2024,12-11-2024,EMP0143,HR
19-11-2024,18777,18.2,5460,98767,9876.7,4938.35,14815.05,83951.95,20-10-2024,19-11-2024,EMP0144,Sales
02-06-2024,10578,21.3,6390,105167,10516.7,5258.35,15775.05,89391.95,03-05-2024,02-06-2024,EMP0145,HR
23-12-2024,10551,0.6,180,91013,9101.3,4550.65,13651.95,77361.05,23-11-2024,23-12-2024,EMP0146,IT
19-05-2024,18057,1.1,330,86188,8618.8,4309.4,12928.2,73259.8,19-04-2024,19-05-2024,EMP0147,HR
20-02-2024,17085,27.1,8130,54680,5468,2734,8202,46478,21-01-2024,20-02-2024,EMP0148,Operations
26-04-2024,8845,2.2,660,32831,3283.1,1641.55,4924.65,27906.35,27-03-2024,26-04-2024,EMP0149,Sales
15-02-2024,16882,26.8,8040,48581,4858.1,2429.05,7287.15,41293.85,16-01-2024,15-02-2024,EMP0150,IT
04-11-2024,11906,6.8,2040,94235,9423.5,4711.75,14135.25,80099.75,05-10-2024,04-11-2024,EMP0151,Finance
28-03-2024,19247,22.2,6660,73501,7350.1,3675.05,11025.15,62475.85,27-02-2024,28-03-2024,EMP0152,HR
26-07-2024,19315,9.3,2790,46868,4686.8,2343.4,7030.2,39837.8,26-06-2024,26-07-2024,EMP0153,Finance
25-09-2024,16484,25.8,7740,55052,5505.2,2752.6,8257.8,46794.2,26-08-2024,25-09-2024,EMP0154,HR
29-03-2024,5378,21,6300,79266,7926.6,3963.3,11889.9,67376.1,28-02-2024,29-03-2024,EMP0155,Finance
27-04-2024,8293,12.1,3630,43144,4314.4,2157.2,6471.6,36672.4,28-03-2024,27-04-2024,EMP0156,IT
23-02-2024,8329,2.3,690,40230,4023,2011.5,6034.5,34195.5,24-01-2024,23-02-2024,EMP0157,IT
25-04-2024,9808,22,6600,49977,4997.7,2498.85,7496.55,42480.45,26-03-2024,25-04-2024,EMP0158,Sales
27-04-2024,16630,18.5,5550,80040,8004,4002,12006,68034,28-03-2024,27-04-2024,EMP0159,IT
16-09-2024,12937,0.1,30,78304,7830.4,3915.2,11745.6,66558.4,17-08-2024,16-09-2024,EMP0160,HR
15-03-2024,18660,0.3,90,91061,9106.1,4553.05,13659.15,77401.85,14-02-2024,15-03-2024,EMP0161,HR
31-10-2024,5224,24.3,7290,46029,4602.9,2301.45,6904.35,39124.65,01-10-2024,31-10-2024,EMP0162,IT
07-01-2024,19025,7.8,2340,66269,6626.9,3313.45,9940.35,56328.65,08-12-2023,07-01-2024,EMP0163,IT
01-05-2024,5737,19.1,5730,91402,9140.2,4570.1,13710.3,77691.7,01-04-2024,01-05-2024,EMP0164,IT
11-01-2024,5235,13.6,4080,73105,7310.5,3655.25,10965.75,62139.25,12-12-2023,11-01-2024,EMP0165,Sales
13-12-2024,17470,25.9,7770,113820,11382,5691,17073,96747,13-11-2024,13-12-2024,EMP0166,Finance
02-08-2024,5711,27.5,8250,39597,3959.7,1979.85,5939.55,33657.45,03-07-2024,02-08-2024,EMP0167,HR
05-10-2024,10988,29.9,8970,42850,4285,2142.5,6427.5,36422.5,05-09-2024,05-10-2024,EMP0168,Finance
28-01-2024,19779,4.6,1380,62831,6283.1,3141.55,9424.65,53406.35,29-12-2023,28-01-2024,EMP0169,Finance
22-08-2024,6888,25.9,7770,40470,4047,2023.5,6070.5,34399.5,23-07-2024,22-08-2024,EMP0170,Operations
08-11-2024,17910,8,2400,40964,4096.4,2048.2,6144.6,34819.4,09-10-2024,08-11-2024,EMP0171,Finance
26-01-2024,12173,17.7,5310,92116,9211.6,4605.8,13817.4,78298.6,27-12-2023,26-01-2024,EMP0172,Sales
23-02-2024,6259,15.2,4560,47962,4796.2,2398.1,7194.3,40767.7,24-01-2024,23-02-2024,EMP0173,Operations
29-01-2024,10246,0.5,150,86330,8633,4316.5,12949.5,73380.5,30-12-2023,29-01-2024,EMP0174,HR
18-12-2024,12271,28,8400,108005,10800.5,5400.25,16200.75,91804.25,18-11-2024,18-12-2024,EMP0175,IT
12-06-2024,5748,2.3,690,55525,5552.5,2776.25,8328.75,47196.25,13-05-2024,12-06-2024,EMP0176,Operations
26-09-2024,17178,20.6,6180,54976,5497.6,2748.8,8246.4,46729.6,27-08-2024,26-09-2024,EMP0177,IT
29-11-2024,8551,23.6,7080,44077,4407.7,2203.85,6611.55,37465.45,30-10-2024,29-11-2024,EMP0178,Operations
04-02-2024,19490,23.9,7170,95527,9552.7,4776.35,14329.05,81197.95,05-01-2024,04-02-2024,EMP0179,Sales
12-10-2024,11400,4.1,1230,83658,8365.8,4182.9,12548.7,71109.3,12-09-2024,12-10-2024,EMP0180,Finance
13-12-2024,19570,13.4,4020,103691,10369.1,5184.55,15553.65,88137.35,13-11-2024,13-12-2024,EMP0181,Operations
29-09-2024,11643,24.9,7470,66313,6631.3,3315.65,9946.95,56366.05,30-08-2024,29-09-2024,EMP0182,IT
26-07-2024,19624,9.1,2730,103819,10381.9,5190.95,15572.85,88246.15,26-06-2024,26-07-2024,EMP0183,HR
25-08-2024,13701,14,4200,77049,7704.9,3852.45,11557.35,65491.65,26-07-2024,25-08-2024,EMP0184,Finance
02-04-2024,18863,8.2,2460,62021,6202.1,3101.05,9303.15,52717.85,03-03-2024,02-04-2024,EMP0185,Operations
21-06-2024,6823,13.9,4170,73463,7346.3,3673.15,11019.45,62443.55,22-05-2024,21-06-2024,EMP0186,HR
19-03-2024,11852,26.6,7980,91492,9149.2,4574.6,13723.8,77768.2,18-02-2024,19-03-2024,EMP0187,HR
19-04-2024,18072,13.7,4110,96092,9609.2,4804.6,14413.8,81678.2,20-03-2024,19-04-2024,EMP0188,Operations
04-08-2024,16133,16.7,5010,76593,7659.3,3829.65,11488.95,65104.05,05-07-2024,04-08-2024,EMP0189,IT
23-12-2024,19633,12.1,3630,99726,9972.6,4986.3,14958.9,84767.1,23-11-2024,23-12-2024,EMP0190,HR
15-04-2024,12777,13.8,4140,70674,7067.4,3533.7,10601.1,60072.9,16-03-2024,15-04-2024,EMP0191,Finance
16-02-2024,9232,0.5,150,60772,6077.2,3038.6,9115.8,51656.2,17-01-2024,16-02-2024,EMP0192,HR
29-06-2024,11519,8.5,2550,90185,9018.5,4509.25,13527.75,76657.25,30-05-2024,29-06-2024,EMP0193,Sales
04-03-2024,15326,13.1,3930,52417,5241.7,2620.85,7862.55,44554.45,03-02-2024,04-03-2024,EMP0194,HR
02-09-2024,6777,19,5700,64629,6462.9,3231.45,9694.35,54934.65,03-08-2024,02-09-2024,EMP0195,IT
31-08-2024,6222,13.5,4050,51108,5110.8,2555.4,7666.2,43441.8,01-08-2024,31-08-2024,EMP0196,Sales
15-11-2024,12630,10.1,3030,102203,10220.3,5110.15,15330.45,86872.55,16-10-2024,15-11-2024,EMP0197,Finance
27-03-2024,19772,11.6,3480,98900,9890,4945,14835,84065,26-02-2024,27-03-2024,EMP0198,HR
04-08-2024,18621,7.3,2190,67142,6714.2,3357.1,10071.3,57070.7,05-07-2024,04-08-2024,EMP0199,HR
07-01-2024,16859,27.7,8310,55932,5593.2,2796.6,8389.8,47542.2,08-12-2023,07-01-2024,EMP0200,Operations
04-10-2024,6777,15.7,4710,100931,10093.1,5046.55,15139.65,85791.35,04-09-2024,04-10-2024,EMP0201,Operations
02-12-2024,14496,0.4,120,53803,5380.3,2690.15,8070.45,45732.55,02-11-2024,02-12-2024,EMP0202,Sales
28-07-2024,12490,0.6,180,44627,4462.7,2231.35,6694.05,37932.95,28-06-2024,28-07-2024,EMP0203,IT
17-06-2024,9859,29.2,8760,42998,4299.8,2149.9,6449.7,36548.3,18-05-2024,17-06-2024,EMP0204,Finance
25-11-2024,13893,6.6,1980,63832,6383.2,3191.6,9574.8,54257.2,26-10-2024,25-11-2024,EMP0205,Operations
17-05-2024,13118,24.2,7260,67483,6748.3,3374.15,10122.45,57360.55,17-04-2024,17-05-2024,EMP0206,HR
01-11-2024,7989,1.7,510,29376,2937.6,1468.8,4406.4,24969.6,02-10-2024,01-11-2024,EMP0207,Operations
17-08-2024,13343,27.6,8280,89976,8997.6,4498.8,13496.4,76479.6,18-07-2024,17-08-2024,EMP0208,Finance
03-11-2024,6325,26.2,7860,85752,8575.2,4287.6,12862.8,72889.2,04-10-2024,03-11-2024,EMP0209,Finance
09-06-2024,14493,17.1,5130,97536,9753.6,4876.8,14630.4,82905.6,10-05-2024,09-06-2024,EMP0210,HR
01-01-2024,16914,0.3,90,39641,3964.1,1982.05,5946.15,33694.85,02-12-2023,01-01-2024,EMP0211,Sales
23-08-2024,14903,7.7,2310,79238,7923.8,3961.9,11885.7,67352.3,24-07-2024,23-08-2024,EMP0212,IT
06-07-2024,10127,12.2,3660,62529,6252.9,3126.45,9379.35,53149.65,06-06-2024,06-07-2024,EMP0213,HR
04-01-2024,13998,13.8,4140,49969,4996.9,2498.45,7495.35,42473.65,05-12-2023,04-01-2024,EMP0214,Sales
11-05-2024,17522,8.9,2670,86954,8695.4,4347.7,13043.1,73910.9,11-04-2024,11-05-2024,EMP0215,IT
05-08-2024,7722,1,300,46852,4685.2,2342.6,7027.8,39824.2,06-07-2024,05-08-2024,EMP0216,Finance
16-09-2024,9656,17.7,5310,90010,9001,4500.5,13501.5,76508.5,17-08-2024,16-09-2024,EMP0217,HR
01-01-2024,6325,15.7,4710,100237,10023.7,5011.85,15035.55,85201.45,02-12-2023,01-01-2024,EMP0218,IT
11-03-2024,9133,8.5,2550,68728,6872.8,3436.4,10309.2,58418.8,10-02-2024,11-03-2024,EMP0219,Sales
26-06-2024,14351,1.1,330,61308,6130.8,3065.4,9196.2,52111.8,27-05-2024,26-06-2024,EMP0220,Sales
